Entity,Code,Day,new_tests_per_thousand_7day_smoothed,142753-annotations,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)",Year,Continent
Zimbabwe,ZWE,2021-05-15,130,tests performed,1.34543,2015,Africa
Zimbabwe,ZWE,2021-05-16,127,tests performed,1.35514,2015,Africa
Zimbabwe,ZWE,2021-05-17,124,tests performed,1.33586,2015,Africa
Zimbabwe,ZWE,2021-05-18,124,tests performed,1.41271,2015,Africa
Zimbabwe,ZWE,2021-05-19,137,tests performed,1.40314,2015,Africa
Zimbabwe,ZWE,2021-05-20,134,tests performed,1.38386,2015,Africa
Zimbabwe,ZWE,2021-05-21,135,tests performed,1.23971,2015,Africa
Zimbabwe,ZWE,2021-05-22,131,tests performed,1.20129,2015,Africa
Zimbabwe,ZWE,2021-05-23,130,tests performed,1.17243,2015,Africa
Zimbabwe,ZWE,2021-05-24,137,tests performed,1.19171,2015,Africa
Zimbabwe,ZWE,2021-05-25,130,tests performed,1.06686,2015,Africa
Zimbabwe,ZWE,2021-05-26,116,tests performed,1.98957,2015,Africa
